customer_id,total_invoices,total_invoice_value,average_invoice_value,average_days_overdue,maximum_days_overdue,total_previous_payments,total_previous_late_payments,average_payment_delay,total_payment_failures,total_communications,average_last_contact_days,payment_reliability_score,payment_behavior_score,customer_value_score,customer_lifetime_value,recovery_rate,late_payment_rate,payment_failure_rate,communication_per_invoice,cluster,customer_segment,recommended_strategy,customer_priority_score
CUST0415,9,188038.37,20893.152222222223,272.22222222222223,476,154,45,16.555555555555557,9,39,47.44444444444444,71.3411111111111,73.73777777777778,89.38,4468909.0,0.2222222222222222,0.2922077922077922,1.0,4.333333333333333,0,Valuable but Risky,Priority human intervention,21494936.4
CUST0224,6,475621.95999999996,79270.32666666666,334.6666666666667,579,100,23,14.166666666666666,5,19,68.5,77.54666666666667,78.60833333333333,80.23,4011676.0,0.5,0.23,0.8333333333333334,3.1666666666666665,0,Valuable but Risky,Priority human intervention,21448024.57
CUST1071,8,458698.49,57337.31125,259.75,542,95,20,21.125,5,28,51.625,70.88125,71.51375,98.36,4917951.0,0.375,0.21052631578947367,0.625,3.5,0,Valuable but Risky,Priority human intervention,21417029.51
CUST0722,3,35229.44,11743.146666666667,266.0,491,61,14,13.666666666666666,5,6,48.333333333333336,77.15333333333334,77.04666666666667,95.12,4755815.0,0.0,0.22950819672131148,1.6666666666666667,2.0,0,Valuable but Risky,Priority human intervention,21401167.5
CUST1414,3,58002.64,19334.213333333333,227.33333333333334,568,30,11,7.0,2,13,48.0,76.07000000000001,82.50333333333333,95.38,4768784.0,0.6666666666666666,0.36666666666666664,0.6666666666666666,4.333333333333333,0,Valuable but Risky,Priority human intervention,21333420.16
CUST0876,5,113067.08,22613.416,349.6,562,104,27,16.8,0,11,45.4,73.124,76.484,75.27,3763543.0,0.2,0.25961538461538464,0.0,2.2,0,Valuable but Risky,Priority human intervention,21313812.52
CUST1035,3,45518.15,15172.716666666667,350.0,529,56,15,11.333333333333334,3,11,40.666666666666664,79.13,80.76333333333334,74.7,3735104.0,0.0,0.26785714285714285,1.0,3.6666666666666665,0,Valuable but Risky,Priority human intervention,21310102.29
CUST0482,5,126327.93000000001,25265.586000000003,248.4,545,81,19,12.0,3,20,46.2,77.962,80.58,99.06,4952825.0,0.4,0.2345679012345679,0.6,4.0,0,Valuable but Risky,Priority human intervention,21303262.1
CUST1638,5,379220.24,75844.048,264.0,504,77,17,15.0,4,20,54.8,73.05,75.924,95.76,4788202.0,0.4,0.22077922077922077,0.8,4.0,0,Valuable but Risky,Priority human intervention,21277028.52
CUST1442,3,49039.17,16346.39,261.6666666666667,456,27,6,6.666666666666667,1,16,47.333333333333336,59.52333333333333,75.09333333333333,96.12,4805997.0,0.0,0.2222222222222222,0.3333333333333333,5.333333333333333,3,Valuable but Risky,Priority human intervention,21244286.74
CUST0114,2,94062.87,47031.435,238.5,477,32,12,20.0,0,6,19.5,67.855,71.93,91.29,4564276.0,0.5,0.375,0.0,3.0,3,Valuable but Risky,Priority human intervention,21243852.11
CUST0129,5,217573.87,43514.774,253.2,526,55,14,17.4,3,21,34.8,75.458,76.09,95.45,4772727.0,0.2,0.2545454545454545,0.6,4.2,0,Valuable but Risky,Priority human intervention,21148213.67
CUST1775,3,245561.62,81853.87333333334,263.6666666666667,474,42,16,18.333333333333332,1,5,63.0,62.98333333333333,69.82333333333334,83.99,4199287.0,0.3333333333333333,0.38095238095238093,0.3333333333333333,1.6666666666666667,3,Valuable but Risky,Priority human intervention,21089085.94
CUST0231,5,74673.09,14934.617999999999,242.8,571,78,21,13.0,0,15,51.2,77.716,81.056,96.55,4827402.0,0.2,0.2692307692307692,0.0,3.0,0,Valuable but Risky,Priority human intervention,21003654.76
CUST1884,5,217377.88,43475.576,275.2,537,66,12,13.6,3,23,49.0,79.8,80.53999999999999,94.25,4712315.0,0.4,0.18181818181818182,0.6,4.6,0,Valuable but Risky,Priority human intervention,20895261.49
CUST0867,3,41391.64,13797.213333333333,316.0,553,53,13,15.333333333333334,5,16,58.333333333333336,73.09333333333333,74.01333333333334,80.54,4026765.0,0.0,0.24528301886792453,1.6666666666666667,5.333333333333333,3,Valuable but Risky,Priority human intervention,20860162.23
CUST0962,5,440051.65,88010.33,261.4,441,66,16,20.6,4,21,51.8,80.026,76.05199999999999,92.68,4634074.0,0.2,0.24242424242424243,0.8,4.2,0,Valuable but Risky,Priority human intervention,20807553.97
CUST0433,7,67825.15,9689.307142857142,232.71428571428572,518,113,34,10.714285714285714,10,29,28.714285714285715,69.19142857142857,75.30857142857143,96.09,4804619.0,0.42857142857142855,0.3008849557522124,1.4285714285714286,4.142857142857143,0,Valuable but Risky,Priority human intervention,20795496.52
CUST0082,5,299564.79,59912.958,257.2,385,83,16,8.2,6,15,24.8,81.08,83.22,97.38,4868750.0,0.0,0.1927710843373494,1.2,3.0,0,Valuable but Risky,Priority human intervention,20743690.66
CUST0261,3,109418.49,36472.83,205.0,482,29,12,11.666666666666666,3,17,44.333333333333336,55.64000000000001,68.82000000000001,96.06,4802820.0,0.6666666666666666,0.41379310344827586,1.0,5.666666666666667,3,Valuable but Risky,Priority human intervention,20710091.07
CUST1827,3,78095.04000000001,26031.680000000004,285.6666666666667,354,61,14,16.333333333333332,6,10,55.0,77.85666666666667,75.13,87.29,4364366.0,0.3333333333333333,0.22950819672131148,2.0,3.3333333333333335,0,Valuable but Risky,Priority human intervention,20694965.01
CUST0857,2,42596.35,21298.175,319.5,518,22,5,17.0,1,11,16.0,87.5,82.55,79.97,3998401.0,0.0,0.22727272727272727,0.5,5.5,0,Valuable but Risky,Priority human intervention,20585404.06
CUST0885,1,28194.63,28194.63,326.0,326,23,5,17.0,0,2,37.0,78.26,78.93,79.22,3961147.0,0.0,0.21739130434782608,0.0,2.0,0,Valuable but Risky,Priority human intervention,20542852.79
CUST0101,10,322997.57,32299.757,258.3,557,157,42,16.7,14,46,51.3,72.5,73.433,90.4,4520013.0,0.1,0.267515923566879,1.4,4.6,0,Valuable but Risky,Priority human intervention,20527682.22
CUST1327,2,41212.83,20606.415,356.5,398,45,13,16.5,2,6,81.0,70.58,73.39,69.67,3483372.0,0.0,0.28888888888888886,1.0,3.0,3,Valuable but Risky,Priority human intervention,20495386.77
CUST0736,1,15236.1,15236.1,298.0,298,22,6,0.0,0,1,27.0,72.73,86.36,80.73,4036280.0,0.0,0.2727272727272727,0.0,1.0,0,Valuable but Risky,Priority human intervention,20445592.87
CUST0654,1,93700.4,93700.4,272.0,272,28,6,20.0,1,4,38.0,78.57,75.28,90.46,4523014.0,0.0,0.21428571428571427,1.0,4.0,0,Valuable but Risky,Priority human intervention,20431100.38
CUST0836,9,257488.87,28609.874444444446,268.3333333333333,419,150,38,14.333333333333334,11,34,43.666666666666664,76.25555555555555,77.08333333333333,88.43,4421545.0,0.3333333333333333,0.25333333333333335,1.2222222222222223,3.7777777777777777,0,Valuable but Risky,Priority human intervention,20411816.85
CUST0141,4,165913.66,41478.415,274.25,440,85,26,15.75,3,18,57.25,69.66499999999999,73.8825,83.38,4168893.0,0.25,0.3058823529411765,0.75,4.5,3,Valuable but Risky,Priority human intervention,20374483.62
CUST0353,7,124096.51999999999,17728.074285714283,295.2857142857143,529,118,29,16.857142857142858,3,26,46.0,74.80428571428571,76.43142857142857,82.52,4125837.0,0.2857142857142857,0.2457627118644068,0.42857142857142855,3.7142857142857144,0,Valuable but Risky,Priority human intervention,20316950.05
CUST1706,5,231371.61,46274.322,285.0,508,107,25,18.6,5,19,35.4,74.342,74.01,85.53,4276405.0,0.4,0.2336448598130841,1.0,3.8,0,Valuable but Risky,Priority human intervention,20310925.43
CUST1823,10,244223.55,24422.355,223.9,573,143,48,13.7,7,42,52.1,65.902,73.332,93.75,4687370.0,0.4,0.3356643356643357,0.7,4.2,0,Valuable but Risky,Priority human intervention,20278578.76
CUST0241,3,72054.75,24018.25,288.3333333333333,528,53,10,9.333333333333334,4,7,61.666666666666664,86.30333333333333,84.88666666666667,87.68,4383848.0,0.0,0.18867924528301888,1.3333333333333333,2.3333333333333335,0,Valuable but Risky,Priority human intervention,20236007.8
CUST1372,5,75573.03,15114.606,244.8,501,103,24,10.8,2,20,56.6,76.05199999999999,80.744,95.08,4753855.0,0.4,0.23300970873786409,0.4,4.0,0,Valuable but Risky,Priority human intervention,20210622.22
CUST1466,5,99624.87000000001,19924.974000000002,308.0,593,90,22,16.8,3,15,40.8,76.12,76.78200000000001,79.27,3963397.0,0.6,0.24444444444444444,0.6,3.0,0,Valuable but Risky,Priority human intervention,20123487.7
CUST1896,2,170909.75,85454.875,462.0,513,56,13,9.5,1,14,29.0,76.44,81.52000000000001,58.08,2904119.0,0.0,0.23214285714285715,0.5,7.0,0,Valuable but Risky,Priority human intervention,20109986.89
CUST1018,6,143207.95,23867.99166666667,311.1666666666667,540,127,25,12.666666666666666,3,23,41.666666666666664,83.29166666666667,83.045,81.56,4077902.0,0.3333333333333333,0.1968503937007874,0.5,3.8333333333333335,0,Valuable but Risky,Priority human intervention,20067559.1
CUST1058,5,299438.81,59887.762,329.8,550,62,15,22.6,2,18,44.0,75.866,73.572,75.07,3753292.0,0.2,0.24193548387096775,0.4,3.6,0,Valuable but Risky,Priority human intervention,20034467.33
CUST0774,4,74801.25,18700.3125,223.25,420,36,14,8.25,4,18,50.0,46.1375,66.12,88.75,4437373.0,0.5,0.3888888888888889,1.0,4.5,3,Valuable but Risky,Priority human intervention,19921955.86
CUST0892,9,306231.19,34025.68777777778,252.33333333333334,579,176,41,10.666666666666666,5,26,39.0,79.57555555555555,82.27666666666667,91.65,4582669.0,0.5555555555555556,0.23295454545454544,0.5555555555555556,2.888888888888889,0,Valuable but Risky,Priority human intervention,19907617.54
CUST1619,4,62014.670000000006,15503.667500000001,214.0,500,41,11,3.0,2,17,44.0,79.16499999999999,86.78,99.68,4983842.0,0.75,0.2682926829268293,0.5,4.25,0,Valuable but Risky,Priority human intervention,19847846.87
CUST1662,3,174241.8,58080.6,392.0,476,36,8,11.0,1,3,53.0,82.47666666666667,83.97333333333334,65.96,3298140.0,0.0,0.2222222222222222,0.3333333333333333,1.0,0,Valuable but Risky,Priority human intervention,19832815.2
CUST0967,8,346840.13,43355.01625,289.25,517,92,19,18.0,2,18,52.875,85.15375,81.27875,83.79,4189289.0,0.25,0.20652173913043478,0.25,2.25,0,Valuable but Risky,Priority human intervention,19674517.66
CUST1570,3,29368.98,9789.66,313.0,497,49,14,5.0,3,16,38.0,72.16,81.08,73.99,3699279.0,0.0,0.2857142857142857,1.0,5.333333333333333,0,Valuable but Risky,Priority human intervention,19643171.49
CUST0315,4,134815.93,33703.9825,298.5,564,72,15,13.5,6,4,30.5,79.2325,78.5175,81.2,4060162.0,0.25,0.20833333333333334,1.5,1.0,0,Valuable but Risky,Priority human intervention,19550525.9
CUST1410,4,223548.37,55887.0925,264.0,469,61,14,13.0,4,7,68.0,82.5075,81.455,87.29,4364380.0,0.0,0.22950819672131148,1.0,1.75,0,Valuable but Risky,Priority human intervention,19532389.18
CUST0232,8,356431.66,44553.9575,227.25,542,97,25,12.25,5,36,42.875,76.08500000000001,79.44375,94.42,4720817.0,0.375,0.25773195876288657,0.625,4.5,0,Valuable but Risky,Priority human intervention,19430542.09
CUST1898,4,367748.91000000003,91937.22750000001,333.25,518,75,17,17.25,6,11,59.0,82.245,77.77250000000001,72.94,3647170.0,0.25,0.22666666666666666,1.5,2.75,0,Valuable but Risky,Priority human intervention,19383006.54
CUST0174,1,54571.86,54571.86,386.0,386,2,0,24.0,1,6,55.0,100.0,83.6,79.66,3982747.0,0.0,0.0,1.0,6.0,0,Valuable but Risky,Priority human intervention,19356150.42
CUST0629,3,44136.96,14712.32,380.3333333333333,546,19,9,16.666666666666668,2,14,40.0,53.173333333333325,65.25,54.62,2731206.0,0.3333333333333333,0.47368421052631576,0.6666666666666666,4.666666666666667,3,Valuable but Risky,Priority human intervention,19333105.21
CUST1420,5,201587.01,40317.402,233.8,518,79,14,11.0,8,8,27.8,79.372,79.888,98.21,4910319.0,0.4,0.17721518987341772,1.6,1.6,0,Valuable but Risky,Priority human intervention,19295316.06
CUST1394,2,148586.22,74293.11,227.0,228,51,14,14.0,4,1,31.0,72.38499999999999,73.78999999999999,92.58,4628887.0,0.5,0.27450980392156865,2.0,0.5,3,Valuable but Risky,Priority human intervention,19291567.29
CUST0914,3,93275.94,31091.98,314.6666666666667,508,58,15,18.666666666666668,7,19,50.333333333333336,74.3,71.27999999999999,73.91,3695525.0,0.6666666666666666,0.25862068965517243,2.3333333333333335,6.333333333333333,3,Valuable but Risky,Priority human intervention,19287242.32
CUST1566,4,85645.32,21411.33,205.5,433,54,16,4.75,2,17,46.75,72.03999999999999,82.17,97.32,4866129.0,0.5,0.2962962962962963,0.5,4.25,0,Valuable but Risky,Priority human intervention,19270771.98
CUST1077,4,217008.49,54252.1225,246.5,510,78,17,17.5,5,16,56.25,80.215,77.1075,91.14,4557167.0,0.25,0.21794871794871795,1.25,4.0,0,Valuable but Risky,Priority human intervention,19232121.12
CUST1947,5,228057.45,45611.490000000005,307.0,505,81,17,23.2,2,17,66.2,81.94800000000001,76.25399999999999,77.98,3899091.0,0.4,0.20987654320987653,0.4,3.4,0,Valuable but Risky,Priority human intervention,19199894.27
CUST0319,3,95148.99,31716.33,316.0,426,37,10,27.333333333333332,1,12,52.0,62.336666666666666,64.10000000000001,72.65,3632299.0,0.0,0.2702702702702703,0.3333333333333333,4.0,3,Valuable but Risky,Priority human intervention,19194245.96
CUST0360,2,125870.13,62935.065,505.5,564,37,11,14.0,2,4,19.0,69.85499999999999,74.525,48.86,2442919.0,0.0,0.2972972972972973,1.0,2.0,3,High-Risk Customer,Frequent follow-up and payment assistance,19189458.87
CUST0965,9,127122.49,14124.721111111112,218.44444444444446,567,130,38,11.88888888888889,11,37,42.111111111111114,78.34777777777778,79.59666666666666,93.2,4660146.0,0.3333333333333333,0.2923076923076923,1.2222222222222223,4.111111111111111,0,Valuable but Risky,Priority human intervention,19177815.19
CUST0822,7,188352.1,26907.442857142858,200.57142857142858,497,117,32,11.285714285714286,3,26,37.57142857142857,74.4057142857143,79.57571428571428,99.88,4993772.0,0.42857142857142855,0.27350427350427353,0.42857142857142855,3.7142857142857144,0,Valuable but Risky,Priority human intervention,19115110.46
CUST0388,4,78991.77,19747.9425,206.25,508,45,18,9.0,3,20,57.25,51.4975,68.8475,89.17,4458285.0,0.5,0.4,0.75,5.0,3,Valuable but Risky,Priority human intervention,19114896.94
CUST1054,3,46564.47,15521.49,220.0,352,54,15,11.666666666666666,4,13,37.333333333333336,73.26666666666667,76.96666666666667,93.14,4656976.0,0.3333333333333333,0.2777777777777778,1.3333333333333333,4.333333333333333,0,Valuable but Risky,Priority human intervention,19041857.42
CUST1293,7,491013.02,70144.71714285715,191.57142857142858,541,72,23,9.142857142857142,6,33,55.0,69.47,77.53428571428572,98.86,4943180.0,0.5714285714285714,0.3194444444444444,0.8571428571428571,4.714285714285714,0,Valuable but Risky,Priority human intervention,19017021.55
CUST0497,4,157770.0,39442.5,274.25,527,82,16,16.0,3,9,39.25,81.625,79.7125,84.93,4246656.0,0.5,0.1951219512195122,0.75,2.25,0,Valuable but Risky,Priority human intervention,18994204.73
CUST1267,2,42390.9,21195.45,266.0,324,31,7,14.0,1,2,77.5,77.525,79.36,84.61,4230266.0,0.0,0.22580645161290322,0.5,1.0,0,Valuable but Risky,Priority human intervention,18978883.72
CUST0344,8,371050.79,46381.34875,218.75,405,92,31,15.375,2,18,49.0,73.2675,76.91,88.93,4446720.0,0.375,0.33695652173913043,0.25,2.25,0,Valuable but Risky,Priority human intervention,18949914.78
CUST1855,7,247355.97,35336.567142857144,229.57142857142858,557,132,37,10.428571428571429,4,26,35.285714285714285,70.65,77.92428571428572,89.64,4482027.0,0.42857142857142855,0.2803030303030303,0.5714285714285714,3.7142857142857144,0,Valuable but Risky,Priority human intervention,18911971.13
CUST1270,10,375906.44999999995,37590.645,262.1,580,111,30,12.5,10,38,37.5,72.479,76.739,82.04,4101889.0,0.3,0.2702702702702703,1.0,3.8,0,Valuable but Risky,Priority human intervention,18867248.2
CUST1055,7,103831.55,14833.078571428572,249.85714285714286,540,93,30,17.714285714285715,5,24,42.0,67.73571428571428,71.81285714285714,81.47,4073278.0,0.42857142857142855,0.3225806451612903,0.7142857142857143,3.4285714285714284,3,Valuable but Risky,Priority human intervention,18847639.2
CUST0474,6,154198.45,25699.74166666667,199.83333333333334,490,113,31,17.0,4,26,42.5,69.795,73.365,97.79,4889498.0,0.3333333333333333,0.2743362831858407,0.6666666666666666,4.333333333333333,0,Valuable but Risky,Priority human intervention,18682209.35
CUST0595,4,69107.25,17276.8125,216.5,580,59,18,11.75,4,12,47.75,74.4725,78.185,90.34,4516951.0,0.25,0.3050847457627119,1.0,3.0,0,Valuable but Risky,Priority human intervention,18657687.18
CUST0148,6,902125.0100000001,150354.16833333336,382.1666666666667,535,96,18,8.666666666666666,8,27,26.833333333333332,74.92999999999999,79.60000000000001,65.04,3252209.0,0.16666666666666666,0.1875,1.3333333333333333,4.5,0,Valuable but Risky,Priority human intervention,18621267.93
CUST0084,5,147147.86,29429.571999999996,301.6,445,79,25,10.4,3,19,57.8,57.403999999999996,71.264,70.44,3521750.0,0.2,0.31645569620253167,0.6,3.8,3,Valuable but Risky,Priority human intervention,18619091.04
CUST0790,2,50245.35,25122.675,227.5,455,25,6,8.0,1,4,37.0,76.605,82.505,91.65,4582688.0,0.5,0.24,0.5,2.0,0,Valuable but Risky,Priority human intervention,18610295.97
