customer_id,invoice_id,invoice_amount,invoice_date,due_date,payment_date,payment_status,days_overdue,previous_payments,previous_late_payments,average_payment_delay,payment_failures,communication_count,last_contact_days,discount_used,recovered,customer_segment,customer_lifetime_value,payment_delay,invoice_age,late_payment_ratio,payment_reliability_score,overdue_revenue,recovery_opportunity,overdue_severity,invoice_value_category,payment_behavior_score,communication_effectiveness,customer_value_score,overdue_risk_score,recovery_potential_score,expected_recovery_baseline,recovery_priority_score,recovery_probability,recovery_probability_percent,expected_recovery,overdue_status,overdue_invoice,risk_level,urgency_score,recovery_value_score,priority_score,normalized_priority,priority_category,recommended_action,potential_loss
CUST0573,INV000016,5000.0,2025-01-21,2025-02-20,,Overdue,560,25,6,8,0,1,11,0,0,SMB,1967043,560.0,590,0.24,76.0,5000.0,True,Critical,Small,83.2,0.077,39.34,57.2,50.72,2536.0,16737.6,0.05621086012090514,5.62,281.0543006045257,180+ Days,True,Critical,100,0.12032588276413929,562.1086012090514,0.17189411823448472,Critical,Escalate to human recovery team,4718.945699395475
CUST0192,INV000017,19202.36,2025-11-07,2025-12-07,,Overdue,270,8,3,25,1,0,85,0,0,Enterprise,4402892,270.0,300,0.375,62.5,19202.36,True,Critical,Small,64.25,0.0,88.06,65.25,40.29,7736.63,28625.53,0.05940248339209128,5.94,1140.667870988958,180+ Days,True,Critical,100,0.4883464448763806,2281.335741977916,0.6976377783948295,Critical,Escalate to human recovery team,18061.692129011044
CUST0005,INV000018,38692.84,2026-08-11,2026-09-10,2026-09-24,Paid,0,2,0,12,1,3,23,0,1,SMB,123997,14.0,23,0.0,100.0,0.0,False,Current,Small,90.8,0.111,2.48,4.0,80.82,31271.55,31271.55,0.9771038936677336,97.71,37806.92462106263,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,885.9153789373668
CUST1914,INV000019,18715.13,2026-08-19,2026-09-18,,Overdue,0,11,2,20,0,1,56,0,0,SMB,3516689,0.0,15,0.1818181818181818,81.82,18715.13,False,Current,Small,78.91,0.017,70.33,5.45,70.25,13147.38,13147.38,0.5151620077152256,51.52,9641.32394545145,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,9073.806054548551
CUST1261,INV000020,11686.75,2026-03-10,2026-04-09,,Overdue,147,2,0,8,4,4,65,1,0,SMB,1947951,147.0,177,0.0,100.0,11686.75,True,Critical,Small,87.2,0.057,38.96,66.0,58.04,6782.99,16753.99,0.16071832555302987,16.07,1878.2748911568717,91-180 Days,True,Critical,80,0.8041331652497368,3380.8948040823693,1.0338854981782333,Critical,Escalate to human recovery team,9808.475108843128
CUST1717,INV000021,14586.31,2026-01-06,2026-02-20,,Overdue,195,27,12,13,0,2,52,1,0,SMB,1284215,195.0,240,0.4444444444444444,55.56,14586.31,True,Critical,Small,69.98,0.036,25.68,63.33,38.56,5624.48,16592.22,0.07329922562330987,7.33,1069.165227701541,180+ Days,True,Critical,100,0.4577345002983325,2138.330455403082,0.6539064289976181,Critical,Escalate to human recovery team,13517.14477229846
CUST0311,INV000022,12826.09,2026-07-14,2026-07-29,,Overdue,36,15,3,16,2,5,7,0,1,SMB,138668,36.0,51,0.2,80.0,12826.09,True,Moderate,Small,76.4,0.385,2.77,29.0,68.55,8792.28,11957.5,0.611983142837427,61.2,7849.350868515695,31-60 Days,True,Medium,40,3.360489664623925,10989.091215921972,3.360489664623926,Medium,Send personalized payment reminder,4976.739131484305
CUST0549,INV000023,11652.42,2025-03-19,2025-05-18,2025-05-28,Paid,0,18,4,11,0,4,81,0,1,Mid-Market,3120771,10.0,533,0.2222222222222222,77.78,0.0,False,Current,Small,82.29,0.047,62.42,6.67,68.61,7994.73,7994.73,0.9995212981389916,99.95,11646.841964860749,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,5.578035139251369
CUST0056,INV000024,26208.09,2026-06-26,2026-08-10,2026-08-12,Paid,0,5,2,0,1,4,35,0,1,Enterprise,738725,2.0,69,0.4,60.0,0.0,False,Current,Small,78.0,0.1,14.77,16.0,58.4,15305.52,15305.52,0.982630985142331,98.26,25752.881295398874,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,455.20870460112565
CUST0443,INV000025,221391.57,2025-10-12,2025-11-26,2025-12-24,Paid,0,28,10,25,2,1,16,0,1,SMB,387913,28.0,326,0.3571428571428571,64.29,0.0,False,Current,Large,63.14,0.056,7.76,18.71,58.5,129514.07,129514.07,0.9819249084249084,98.19,217389.8970982967,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,4001.6729017033067
CUST1261,INV000026,10470.32,2025-05-20,2025-06-19,,Overdue,441,26,9,11,1,1,51,0,0,SMB,1947951,441.0,471,0.3461538461538461,65.38,10470.32,True,Critical,Small,74.09,0.019,38.96,64.38,42.27,4425.8,23943.58,0.031834799327562106,3.18,333.32053609536007,180+ Days,True,Critical,100,0.14270227376995537,666.6410721907201,0.20386039109993626,Critical,Escalate to human recovery team,10136.99946390464
CUST0870,INV000027,16024.23,2026-07-07,2026-08-21,,Overdue,13,25,6,0,2,5,53,0,0,Enterprise,2972705,13.0,58,0.24,76.0,16024.23,True,Mild,Small,84.0,0.085,59.45,20.62,63.68,10204.23,11530.78,0.4081372622862682,40.81,6540.085362445487,1-30 Days,True,Medium,20,2.7999626509768034,7848.1024349345835,2.3999679865515455,Medium,Send payment reminder,9484.144637554513
CUST1885,INV000028,20916.68,2025-10-09,2025-11-08,2025-11-18,Paid,0,7,4,7,1,3,67,0,1,SMB,2871839,10.0,329,0.5714285714285714,42.86,0.0,False,Current,Small,65.23,0.042,57.44,21.14,47.73,9983.53,9983.53,0.9967776012494614,99.68,20849.278116502584,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,67.40188349741584
CUST1221,INV000029,11077.21,2026-07-16,2026-08-15,,Overdue,19,23,6,28,0,7,76,0,1,Enterprise,3143510,19.0,49,0.2608695652173913,73.91,11077.21,True,Mild,Small,70.16,0.083,62.87,15.74,64.41,7134.83,8490.45,0.5808817752463097,58.09,6434.549409576173,1-30 Days,True,Low,20,2.754780255030394,7721.459291491407,2.361240218597481,Low,Send payment reminder,4642.660590423826
CUST0585,INV000030,66054.52,2025-09-15,2025-09-30,,Overdue,338,19,7,24,2,0,52,0,0,Mid-Market,1003692,338.0,353,0.3684210526315789,63.16,66054.52,True,Critical,Medium,63.18,0.0,20.07,69.05,39.25,25926.4,113557.63,0.026104143375757383,2.61,1724.2966606968337,180+ Days,True,Critical,100,0.7382115036109971,3448.5933213936673,1.0545878623014247,Critical,Escalate to human recovery team,64330.22333930317
CUST1595,INV000031,5000.0,2025-12-26,2026-02-24,,Overdue,191,19,8,15,1,4,86,0,0,Mid-Market,2977053,191.0,251,0.4210526315789473,57.89,5000.0,True,Critical,Small,67.94,0.044,59.54,66.63,38.61,1930.5,5617.76,0.12229942078735359,12.23,611.497103936768,180+ Days,True,Critical,100,0.2617961322087716,1222.994207873536,0.3739944745839595,Critical,Escalate to human recovery team,4388.502896063232
CUST0752,INV000032,12951.16,2026-03-16,2026-04-15,,Overdue,141,26,5,20,1,6,84,0,1,Enterprise,922328,141.0,171,0.1923076923076923,80.77,12951.16,True,Critical,Small,76.38,0.066,18.45,59.77,51.75,6702.23,16152.37,0.3468354674352848,34.68,4491.921632429163,91-180 Days,True,Critical,80,1.9230961225884524,8085.458938372493,2.472552157613725,Critical,Escalate to human recovery team,8459.238367570837
CUST1538,INV000033,49926.83,2025-09-27,2025-11-26,,Overdue,281,16,4,26,1,1,71,0,0,Mid-Market,2976979,281.0,341,0.25,75.0,49926.83,True,Critical,Small,69.9,0.014,59.54,61.5,47.5,23715.24,90355.06,0.031082811524403234,3.11,1551.8662469009212,180+ Days,True,Critical,100,0.6643900331309083,3103.7324938018423,0.9491286187584406,Critical,Escalate to human recovery team,48374.96375309908
CUST1473,INV000034,16414.26,2025-05-14,2025-06-13,,Overdue,447,19,5,13,0,6,55,0,0,Enterprise,1756826,447.0,477,0.2631578947368421,73.68,16414.26,True,Critical,Small,79.04,0.097,35.14,57.89,49.83,8179.23,44740.39,0.03112261419086742,3.11,510.8546812085874,180+ Days,True,Critical,100,0.21870877032801553,1021.7093624171748,0.3124411004685937,Critical,Escalate to human recovery team,15903.40531879141
CUST0360,INV000035,9693.02,2025-04-14,2025-06-13,,Overdue,447,17,6,23,2,1,37,0,0,Mid-Market,2442919,447.0,507,0.3529411764705882,64.71,9693.02,True,Critical,Small,64.55,0.026,48.86,68.59,40.63,3938.27,21542.34,0.022115775280330898,2.21,214.368652107753,180+ Days,True,Critical,100,0.0917762056881641,428.737304215506,0.13110886526880589,Critical,Escalate to human recovery team,9478.651347892248
CUST1724,INV000036,34226.54,2025-04-05,2025-06-04,,Overdue,456,13,3,4,2,4,7,1,0,SMB,411309,456.0,516,0.2307692307692307,76.92,34226.54,True,Critical,Small,82.06,0.333,8.23,64.92,53.55,18328.31,101905.4,0.044977773226666365,4.5,1539.4335544534254,180+ Days,True,Critical,100,0.6590673083383602,3078.8671089068507,0.9415247261976576,Critical,Escalate to human recovery team,32687.106445546575
CUST0819,INV000037,54521.11,2026-07-27,2026-09-25,,Overdue,0,28,5,1,1,3,23,0,1,SMB,323452,0.0,38,0.1785714285714285,82.14,54521.11,False,Current,Medium,88.47,0.111,6.47,9.36,70.91,38660.92,38660.92,0.9397593885492651,93.98,51236.72499662722,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,3284.3850033727795
CUST0030,INV000038,27190.84,2026-04-25,2026-05-25,,Overdue,101,8,3,12,2,1,1,1,0,SMB,3785444,101.0,131,0.375,62.5,27190.84,True,Critical,Small,70.05,0.333,75.71,61.33,48.32,13138.61,26408.61,0.3494205303175261,34.94,9501.037732579001,91-180 Days,True,High,80,4.067615225559569,17101.8679186422,5.229791004290876,High,Priority human follow-up,17689.802267421
CUST1803,INV000039,9885.06,2025-08-29,2025-10-28,,Overdue,310,28,7,19,0,7,12,0,0,SMB,4686440,310.0,370,0.25,75.0,9885.06,True,Critical,Small,76.1,0.35,93.73,57.5,55.62,5498.07,22542.09,0.04138944085892057,4.14,409.1371062568814,180+ Days,True,Critical,100,0.17516111077480515,818.2742125137628,0.25023015824972167,Critical,Escalate to human recovery team,9475.922893743118
CUST0108,INV000040,34759.33,2025-01-13,2025-03-14,,Overdue,538,11,5,25,1,2,15,1,0,Mid-Market,3902666,538.0,598,0.4545454545454545,54.55,34759.33,True,Critical,Small,60.28,0.111,78.05,67.64,38.09,13239.83,84470.12,0.031024531264289158,3.1,1078.3919203107441,180+ Days,True,Critical,100,0.4616846619959396,2156.7838406214883,0.6595495171370567,Critical,Escalate to human recovery team,33680.93807968926
CUST0844,INV000041,14734.56,2025-05-27,2025-06-26,2025-07-01,Paid,0,18,5,11,0,2,58,0,1,Enterprise,2104410,5.0,464,0.2777777777777778,72.22,0.0,False,Current,Small,79.51,0.033,42.09,8.33,65.24,9612.83,9612.83,0.9979497184551376,99.79,14704.350003560332,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,30.20999643966752
CUST1959,INV000042,46406.13,2025-04-05,2025-05-05,2025-05-16,Paid,0,11,0,4,0,7,27,0,1,Mid-Market,320146,11.0,516,0.0,100.0,0.0,False,Current,Small,97.6,0.2,6.4,0.0,84.0,38981.15,38981.15,0.9998076923076923,99.98,46397.20574423076,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,8.92425576923415
CUST1626,INV000043,97076.92,2025-10-20,2025-12-04,,Overdue,273,23,10,34,1,0,80,1,0,Mid-Market,3049610,273.0,318,0.4347826086956521,56.52,97076.92,True,Critical,Medium,55.86,0.0,60.99,67.04,36.97,35889.34,133867.24,0.048225257778241444,4.82,4681.559491317722,180+ Days,True,Critical,100,2.0042845005182213,9363.118982635444,2.863263572168888,Critical,Escalate to human recovery team,92395.36050868228
CUST0717,INV000044,5000.0,2025-01-25,2025-02-24,2025-03-13,Paid,0,9,2,10,0,6,79,0,1,Mid-Market,4076390,17.0,586,0.2222222222222222,77.78,0.0,False,Current,Small,82.89,0.07,81.53,6.67,69.07,3453.5,3453.5,0.9999758435935371,100.0,4999.879217967686,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,0.12078203231430962
CUST0891,INV000045,24613.92,2025-09-29,2025-11-13,,Overdue,294,14,4,2,1,3,49,0,0,Mid-Market,2949033,294.0,339,0.2857142857142857,71.43,24613.92,True,Critical,Small,82.52,0.057,58.98,62.57,46.38,11415.94,44978.8,0.025111574117315752,2.51,618.0942763976805,180+ Days,True,Critical,100,0.2646205351743165,1236.188552795361,0.37802933596330934,Critical,Escalate to human recovery team,23995.825723602316
CUST1992,INV000046,5000.0,2026-05-20,2026-06-04,2026-06-25,Paid,0,2,1,18,0,6,63,1,1,SMB,1124477,21.0,106,0.5,50.0,0.0,False,Current,Small,64.2,0.086,22.49,15.0,53.97,2698.5,2698.5,0.9909307449936925,99.09,4954.6537249684625,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,45.346275031537516
CUST1983,INV000047,253162.94,2025-06-15,2025-07-15,,Overdue,415,29,8,46,1,4,51,1,0,SMB,2415885,415.0,445,0.2758620689655172,72.41,253162.94,True,Critical,Large,56.6,0.071,48.32,62.28,47.21,119518.22,615518.83,0.04314859980709317,4.31,10923.62638404714,180+ Days,True,Critical,100,4.676658513386754,21847.25276809428,6.68094073340965,Critical,Escalate to human recovery team,242239.31361595285
CUST0960,INV000048,13792.43,2025-03-28,2025-04-27,2025-05-13,Paid,0,17,4,13,1,6,24,0,1,Mid-Market,1256184,16.0,524,0.2352941176470588,76.47,0.0,False,Current,Small,78.44,0.194,25.12,11.06,69.42,9574.7,9574.7,0.9996100665531551,99.96,13787.051870229734,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,5.378129770266241
CUST1469,INV000049,46461.22,2026-05-06,2026-06-05,,Overdue,90,21,3,13,0,4,57,0,0,Enterprise,1571722,90.0,120,0.1428571428571428,85.71,46461.22,True,Severe,Small,85.06,0.065,31.43,41.79,60.24,27988.24,53177.66,0.5276829070214599,52.77,24516.791633363595,61-90 Days,True,High,60,10.49620870231735,39226.86661338175,11.995667088362689,High,Send urgent payment reminder,21944.428366636406
CUST0893,INV000050,21262.14,2025-05-21,2025-06-20,2025-07-03,Paid,0,16,7,20,0,4,45,1,1,Mid-Market,1628315,13.0,470,0.4375,56.25,0.0,False,Current,Small,66.12,0.08,32.57,13.12,57.32,12187.46,12187.46,0.997512415645873,99.75,21209.248633200743,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,52.8913667992565
CUST1462,INV000051,9866.65,2025-04-13,2025-05-28,,Overdue,463,26,3,21,0,2,50,0,0,Mid-Market,4944940,463.0,508,0.1153846153846153,88.46,9866.65,True,Critical,Small,81.63,0.038,98.9,53.46,56.86,5610.18,31585.31,0.05310444014457917,5.31,523.962924352512,180+ Days,True,Critical,100,0.2243207140854572,1047.925848705024,0.32045816297922464,Critical,Escalate to human recovery team,9342.687075647487
CUST0732,INV000052,8759.96,2025-08-14,2025-09-13,2025-09-13,Paid,0,5,0,0,1,7,33,0,1,Mid-Market,2565967,0.0,385,0.0,100.0,0.0,False,Current,Small,98.0,0.171,51.32,4.0,82.02,7184.92,7184.92,0.9995518402780289,99.96,8756.034138761921,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,3.9258612380781415
CUST1914,INV000053,107546.56,2026-07-29,2026-09-12,,Overdue,0,1,1,27,1,4,78,1,1,SMB,3516689,0.0,36,1.0,0.0,107546.56,False,Current,Medium,31.8,0.048,70.33,34.0,24.06,25875.7,25875.7,0.8949399247534308,89.49,96247.71031389032,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,11298.84968610968
CUST0606,INV000054,57293.25,2025-10-21,2025-12-05,,Overdue,272,9,2,11,0,5,75,0,0,SMB,2581528,272.0,317,0.2222222222222222,77.78,57293.25,True,Critical,Medium,82.29,0.062,51.63,56.67,51.41,29454.46,109570.59,0.03365004096183089,3.37,1927.9202093364177,180+ Days,True,Critical,100,0.8253874805980934,3855.8404186728353,1.1791249722829908,Critical,Escalate to human recovery team,55365.329790663585
CUST0457,INV000055,153827.03,2025-11-02,2025-12-02,,Overdue,275,3,0,13,1,0,26,0,0,SMB,67297,275.0,305,0.0,100.0,153827.03,True,Critical,Medium,90.2,0.0,1.35,54.0,61.1,93988.32,352456.2,0.11183888827922042,11.18,17203.84402249429,180+ Days,True,Critical,100,7.365365747795474,34407.68804498858,10.521951068279252,Critical,Escalate to human recovery team,136623.1859775057
CUST0615,INV000056,23282.41,2025-09-11,2025-10-11,2025-10-11,Paid,0,14,3,1,0,2,76,0,1,Enterprise,4506397,0.0,357,0.2142857142857142,78.57,0.0,False,Current,Small,88.68,0.025,90.13,6.43,68.61,15974.06,15974.06,0.990484197583006,99.05,23060.859186648555,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,221.55081335144496
CUST1759,INV000057,29375.6,2025-06-29,2025-07-29,,Overdue,401,18,9,9,0,1,37,0,0,SMB,1521926,401.0,431,0.5,50.0,29375.6,True,Critical,Small,69.6,0.026,30.44,65.0,35.27,10360.77,51907.46,0.0263594168993551,2.64,774.3236870686957,180+ Days,True,Critical,100,0.33150597941863935,1548.6473741373914,0.4735799705980562,Critical,Escalate to human recovery team,28601.276312931303
CUST0698,INV000058,16861.84,2025-02-09,2025-03-11,,Overdue,541,12,3,26,1,3,80,0,0,Mid-Market,3752418,541.0,571,0.25,75.0,16861.84,True,Critical,Small,69.9,0.036,75.05,61.5,47.94,8083.57,51815.68,0.03318053724152383,3.32,559.4849100806163,180+ Days,True,Critical,100,0.23952850233518616,1118.9698201612325,0.34218357476455175,Critical,Escalate to human recovery team,16302.355089919383
CUST1720,INV000059,16529.76,2026-06-04,2026-06-19,2026-07-25,Paid,0,23,5,23,1,5,12,0,1,SMB,1088218,36.0,91,0.217391304347826,78.26,0.0,False,Current,Small,73.33,0.278,21.76,10.52,72.1,11917.96,11917.96,0.9745761598922433,97.46,16109.510024740406,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,420.24997525959225
CUST1519,INV000060,7770.68,2026-06-30,2026-07-30,,Overdue,35,14,5,17,1,1,47,1,1,SMB,2986537,35.0,65,0.3571428571428571,64.29,7770.68,True,Moderate,Small,69.95,0.02,59.73,29.3,54.08,4202.38,5673.21,0.5619336271790509,56.19,4366.606398047707,31-60 Days,True,Medium,40,1.8694457562061888,6113.24895726679,1.8694457562061888,Medium,Send personalized payment reminder,3404.073601952293
CUST0674,INV000061,23956.86,2025-08-24,2025-10-23,,Overdue,315,28,7,0,1,1,29,0,0,Mid-Market,2634182,315.0,375,0.25,75.0,23956.86,True,Critical,Small,85.5,0.032,52.68,61.5,47.86,11465.75,47582.86,0.031156177412074822,3.12,746.4041803962389,180+ Days,True,Critical,100,0.3195529892687759,1492.8083607924777,0.4565042703839657,Critical,Escalate to human recovery team,23210.45581960376
CUST1271,INV000062,10004.13,2026-04-08,2026-05-08,2026-05-15,Paid,0,16,3,5,1,3,66,1,1,Mid-Market,1388306,7.0,148,0.1875,81.25,0.0,False,Current,Small,85.62,0.043,27.77,9.62,69.06,6908.85,6908.85,0.9997323868541161,99.97,10001.452763298868,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,2.6772367011308233
CUST0543,INV000063,34266.0,2025-08-16,2025-09-15,2025-10-05,Paid,0,5,0,16,1,7,6,0,1,SMB,640381,20.0,383,0.0,100.0,0.0,False,Current,Small,88.4,0.5,12.81,4.0,88.6,30359.68,30359.68,1.0,100.0,34266.0,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,0.0
CUST1588,INV000064,26108.34,2026-04-28,2026-06-27,2026-07-04,Paid,0,20,6,8,1,3,10,0,1,SMB,2348354,7.0,128,0.3,70.0,0.0,False,Current,Small,78.2,0.214,46.97,13.0,66.23,17291.55,17291.55,0.9997532100418981,99.98,26101.89672386529,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,6.443276134708867
CUST0857,INV000065,29368.62,2026-03-06,2026-05-05,,Overdue,121,20,5,19,0,4,2,1,0,SMB,3998401,121.0,181,0.25,75.0,29368.62,True,Critical,Small,76.1,0.571,79.97,57.5,60.04,17632.92,38968.75,0.29897207360981926,29.9,8780.39722045881,91-180 Days,True,Critical,80,3.759092261883321,15804.714996825858,4.833118622421414,Critical,Escalate to human recovery team,20588.22277954119
